,channel_Name,Subscribers,Views,Total_Videos,playlist_id
0,iNeuron Intelligence,54800,2914189,343,UUb1GdqUqArXMQ3RS86lqqOw
1,MySirG.com,783000,86811010,1345,UUkGS_3D0HEzfflFnG0bD24A
2,Krish Naik,650000,61133011,1490,UUNU_lfiiWBdtULKOw6X0Dig
3,Telusko,1810000,206542545,1615,UU59K-uG2A5ogwIrHw4bmlEg
